,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,country,metric
703,39.38261848,31.62853121,48.27949254,26.70616741,29.87976795,29.21275817,24.19520213,22.40269707,22.21813383,17.61381568,17.93645522,13.71755292,14.98721469,14.2215361,15.02921125,14.16535555,15.92506479,14.96431621,12.20020496,11.46344295,12.12078078,11.76072554,Dem. Rep. Congo,emissions_per_capita
704,26.63051297,22.09866409,32.46570199,19.44355249,21.45008981,21.2979546,18.44355401,17.32722841,10.95596901,9.191577948,9.145365358,11.09716594,7.631221478,10.4685325,10.04993565,11.10862651,10.53702738,9.193593072,8.100982553,8.760606257,8.668590448,8.499104302,"Congo, Rep.",emissions_per_capita
705,2.775776252,2.806065113,3.10808264,3.009245811,3.052608145,2.863874848,2.754523953,2.694909014,2.807088369,2.686228192,2.50959006,2.731519816,2.460659582,2.524458782,2.524855035,2.376556408,2.486805948,2.585677606,2.439671896,2.465932975,2.570707524,2.607264735,Costa Rica,emissions_per_capita
706,12.51041776,9.835237645,10.92515575,9.889823075,9.560122315,10.23634849,9.764256699,9.736083808,1.587118197,1.506842806,1.782469711,1.694844633,1.668329394,1.281027644,1.288117646,1.449466053,1.473990436,1.477006572,1.541002127,1.558820225,1.615623223,1.602951224,Cote d'Ivoire,emissions_per_capita
707,7.266596477,5.842031022,5.546963136,5.362139726,5.180171923,5.273346233,5.363017728,5.784101658,6.09465852,5.973476943,6.170819024,6.118254482,6.374262635,6.759431577,6.688784231,6.722995185,6.822088829,7.50701028,7.427669744,7.103292469,7.05617714,7.114272489,Croatia,emissions_per_capita
708,5.390619011,4.779301514,4.314799537,4.046727426,4.191082639,4.271481017,4.434181423,4.512416377,4.212564277,4.136295039,4.161053009,3.991217931,4.365940486,4.324025129,4.321732938,4.063869965,4.035891163,3.90046245,4.300833313,4.474056738,4.402365218,4.518958937,Cuba,emissions_per_capita
710,6.692256842,7.286819922,7.583143894,7.648378557,7.994525411,7.709065326,7.937795341,7.863554859,8.100017863,8.182634818,8.43088921,8.102985256,8.20588905,8.913141672,8.589355284,8.630443082,8.35822107,8.538978496,8.510556838,7.075995437,6.85322515,6.852972761,Cyprus,emissions_per_capita
711,18.98771346,17.3051643,16.2078979,15.33861908,14.61366358,14.57392019,15.02069191,14.50432297,14.27381881,13.84542652,15.79914156,15.43293176,14.94299049,15.48324067,14.91403187,14.44993779,14.43204122,14.54912684,13.87367211,13.20165976,13.91075173,13.77782345,Czech Republic,emissions_per_capita
712,14.09937659,16.11204746,14.84809229,15.28278689,15.93218098,15.18912315,17.64884229,15.74143267,14.37440705,13.70773548,12.83866593,13.07761165,12.90711228,13.91364376,12.74020953,11.96005144,13.38085275,12.44968812,11.86230887,11.40882343,11.47850189,10.48654335,Denmark,emissions_per_capita
713,3.096072973,3.144537588,2.818025079,2.80055005,2.808279569,2.895920469,2.845867793,2.943584192,2.856525673,2.774825878,2.725260116,3.097590943,2.708411073,2.768529464,2.756352841,2.774949371,2.724952233,3.043167674,3.110728362,3.076728103,3.165414351,3.209332488,Djibouti,emissions_per_capita
